,Country,HDI.Rank,Human.Development.Index..HDI.,Life.Expectancy.at.Birth,Expected.Years.of.Education,Mean.Years.of.Education,Gross.National.Income..GNI..per.Capita,GNI.per.Capita.Rank.Minus.HDI.Rank,GDI.Rank,Gender.Development.Index..GDI.,Human.Development.Index..Female.,Human.Development.Index..Male.,Life.Expectancy.at.Birth..Female.,Life.Expectancy.at.Birth..Male.,Expected.Years.of.Education..Female.,Expected.Years.of.Education..Male.,Mean.Years.of.Education..Female.,Mean.Years.of.Education..Male.,Estimated.Gross.National.Income.per.Capita..Female.,Estimated.Gross.National.Income.per.Capita..Male.
82,Iran (Islamic Republic of),69,0.766,75.4,15.1,8.2,"15,440",4,69,0.858,0.689,0.804,76.5,74.3,15,15.2,7.7,8.6,4828,25924
83,Iraq,121,0.654,69.4,10.1,6.4,"14,003",-44,121,0.787,0.561,0.712,71.7,67.2,8.7,11.4,5.1,7.7,4279,23515
84,Ireland,6,0.916,80.9,18.6,12.2,"39,568",16,6,0.973,0.901,0.926,83,78.8,18.5,18.7,12.3,12,30104,49166
85,Israel,18,0.894,82.4,16,12.5,"30,676",16,18,0.971,0.879,0.905,84.1,80.5,16.5,15.5,12.5,12.6,22451,39064
86,Italy,27,0.873,83.1,16,10.1,"33,030",4,27,0.964,0.851,0.883,85.5,80.6,16.5,15.6,9.5,10.2,22526,44148
87,Jamaica,99,0.719,75.7,12.4,9.7,"7,415",13,99,0.995,0.715,0.719,78.1,73.3,13.1,11.6,10,9.4,5820,9059
88,Japan,20,0.891,83.5,15.3,11.5,"36,927",7,20,0.961,0.87,0.905,86.7,80.2,15.2,15.5,11.3,11.7,24975,49541
89,Jordan,80,0.748,74,13.5,9.9,"11,365",11,80,0.86,0.674,0.784,75.8,72.4,13.7,13.3,9.3,10.5,3587,18831
90,Kazakhstan,56,0.788,69.4,15,11.4,"20,867",-1,56,1.002,0.787,0.785,74.1,64.6,15.4,14.7,11.3,11.5,15408,26746
91,Kenya,145,0.548,61.6,11,6.3,"2,762",9,145,0.913,0.527,0.577,63.4,59.9,10.7,11.3,5.9,7.3,2255,3270
92,Kiribati,137,0.59,66,12.3,7.8,"2,434",21,137,..,..,..,69.2,62.8,12.7,11.9,..,..,..,..
93,Korea (Republic of),17,0.898,81.9,16.9,11.9,"33,890",13,17,0.93,0.861,0.926,85,78.5,16,17.7,11.2,12.7,21896,46018
